"ts","device","co","humidity","light","lpg","motion","smoke","temp"
"1.5947779869677403E9","00:0f:00:70:91:0a","0.004940912471056381","73.5","false","0.007634034459861942","false","0.020363432603022532","19.200000762939453"
"1.5947779871275997E9","1c:bf:ce:15:ec:4d","0.004673530084152047","56.5","true","0.007332889442826699","false","0.019506540790392855","26.0"
"1.594777988101143E9","b8:27:eb:bf:9d:51","0.005327669505866495","46.8","false","0.008061785172775865","false","0.021584522261068415","23.2"
"1.5947779917872736E9","b8:27:eb:bf:9d:51","0.005351862679124953","46.7","false","0.008088251613236596","false","0.021660223064782692","23.1"
"1.5947779934827087E9","00:0f:00:70:91:0a","0.004956852776904809","73.4000015258789","false","0.007651843114670992","false","0.020414179288408944","19.200000762939453"
"1.5947779954721816E9","b8:27:eb:bf:9d:51","0.005334088966180283","46.8","false","0.008068811060137696","false","0.021604616450096918","23.2"
"1.5947779957478628E9","1c:bf:ce:15:ec:4d","0.004673530084152047","56.599998474121094","true","0.007332889442826699","false","0.019506540790392855","26.0"
"1.5947779972977827E9","00:0f:00:70:91:0a","0.004956852776904809","73.4000015258789","false","0.007651843114670992","false","0.020414179288408944","19.200000762939453"
"1.5947779991454182E9","b8:27:eb:bf:9d:51","0.005343770452299756","46.7","false","0.008079402705575662","false","0.021634911038498284","23.1"
"1.5947780000907502E9","1c:bf:ce:15:ec:4d","0.004673530084152047","56.5","true","0.007332889442826699","false","0.019506540790392855","26.0"
"1.5947780027199476E9","00:0f:00:70:91:0a","0.004956852776904809","73.5","false","0.007651843114670992","false","0.020414179288408944","19.200000762939453"
"1.5947780028312593E9","b8:27:eb:bf:9d:51","0.005363193988620399","46.7","false","0.008100636264474817","false","0.021695652146244967","23.1"
"1.5947780044364288E9","1c:bf:ce:15:ec:4d","0.004673530084152047","56.5","true","0.007332889442826699","false","0.019506540790392855","26.0"
"1.5947780065172887E9","b8:27:eb:bf:9d:51","0.005359927267956024","46.9","false","0.008097066617429843","false","0.021685439988607336","23.1"
"1.5947780076083367E9","00:0f:00:70:91:0a","0.004940912471056381","73.4000015258789","false","0.007634034459861942","false","0.020363432603022532","19.200000762939453"
"1.5947780102031822E9","b8:27:eb:bf:9d:51","0.005358363406358063","46.7","false","0.008095357524347669","false","0.02168055067045291","23.1"
"1.5947780119593456E9","00:0f:00:70:91:0a","0.004940912471056381","73.4000015258789","false","0.007634034459861942","false","0.020363432603022532","19.200000762939453"
"1.59477801198495E9","1c:bf:ce:15:ec:4d","0.004664778323199668","56.400001525878906","true","0.007322953269721305","false","0.01947830828739481","26.0"
"1.5947780138892848E9","b8:27:eb:bf:9d:51","0.005319660588088461","46.6","false","0.008053016392723109","false","0.021559445036549982","23.1"
