"ts","device","co","humidity","light","lpg","motion","smoke","temp"
"1.5948355467418418E9","1c:bf:ce:15:ec:4d","0.0038090241408366195","56.900001525878906","true","0.0063243250641159985","false","0.01665474081621878","27.899999618530273"
"1.5948355495965135E9","00:0f:00:70:91:0a","0.0025840713517823145","74.5","false","0.004776545230412197","false","0.012340313859655156","19.100000381469727"
"1.594835550310076E9","b8:27:eb:bf:9d:51","0.005060217626239165","51.9","false","0.007766941891896275","false","0.020742352685756645","22.9"
"1.5948355510894098E9","1c:bf:ce:15:ec:4d","0.0038170455415376878","56.900001525878906","true","0.006333956817193526","false","0.016681836290244747","27.899999618530273"
"1.59483555424629E9","b8:27:eb:bf:9d:51","0.00506760470929841","51.9","false","0.007775142522832295","false","0.020765747307830016","22.9"
"1.5948355548981636E9","1c:bf:ce:15:ec:4d","0.0038170455415376878","56.900001525878906","true","0.006333956817193526","false","0.016681836290244747","27.899999618530273"
"1.5948355560966113E9","00:0f:00:70:91:0a","0.0025840713517823145","74.5999984741211","false","0.004776545230412197","false","0.012340313859655156","19.100000381469727"
"1.594835557881409E9","b8:27:eb:bf:9d:51","0.005066106994848163","51.8","false","0.007773480130757969","false","0.020761004727654013","22.8"
"1.5948355615740104E9","b8:27:eb:bf:9d:51","0.005052864291833156","51.8","false","0.007758775437107596","false","0.020719057234400262","22.8"
"1.5948355635176132E9","1c:bf:ce:15:ec:4d","0.0038170455415376878","56.900001525878906","true","0.006333956817193526","false","0.016681836290244747","27.899999618530273"
"1.5948355652573965E9","b8:27:eb:bf:9d:51","0.0050675832445831685","51.7","false","0.007775118698975353","false","0.02076567934109389","22.8"
"1.5948355689435155E9","b8:27:eb:bf:9d:51","0.005066106994848163","51.6","false","0.007773480130757969","false","0.020761004727654013","22.8"
"1.5948355693086386E9","00:0f:00:70:91:0a","0.002612589347788125","74.5","false","0.004814621044662395","false","0.012445419108693902","19.100000381469727"
"1.594835569996255E9","1c:bf:ce:15:ec:4d","0.0038495021217651464","56.900001525878906","true","0.006372872298305392","false","0.016791339569167008","27.899999618530273"
"1.5948355726289604E9","b8:27:eb:bf:9d:51","0.005052864291833156","51.6","false","0.007758775437107596","false","0.020719057234400262","22.8"
"1.594835573123603E9","00:0f:00:70:91:0a","0.002612589347788125","74.5","false","0.004814621044662395","false","0.012445419108693902","19.100000381469727"
"1.5948355763162796E9","b8:27:eb:bf:9d:51","0.005055797741287628","51.5","false","0.007762033656727942","false","0.020728351360498384","22.8"
"1.5948355799943066E9","b8:27:eb:bf:9d:51","0.005051510587741555","51.5","false","0.007757271684334277","false","0.02071476784414363","22.8"
"1.5948355807615967E9","1c:bf:ce:15:ec:4d","0.003865808167978064","57.0","true","0.006392388996583422","false","0.016846274294041574","27.899999618530273"
